HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text,Answer.extremism level.label,Approve,Reject
3MNJFORX8BXIC06B565EYMTBXAEF5X,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3LPW2N6LKUVAI21VQX5F86Q47LJU51,A3B2XON26P8JAM,Approved,Mon Apr 10 05:19:14 PDT 2023,Mon Apr 10 05:20:39 PDT 2023,Thu Apr 13 05:20:39 PDT 2023,Thu Apr 13 05:21:23 PDT 2023,,,85,100% (12/12),100% (12/12),100% (12/12),"""The US government is spending a huge amount of taxpayers' money and doing almost the worst immunization in the world!#Covid19
https://t.co/PFAYtn5UrW",Neutral,,
3MNJFORX8BXIC06B565EYMTBXAEF5X,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,379J5II41P97VV7USK6HLD0Y7NPELS,A3JGKJ8P9HJPC0,Approved,Mon Apr 10 05:20:44 PDT 2023,Mon Apr 10 05:21:40 PDT 2023,Thu Apr 13 05:21:40 PDT 2023,Thu Apr 13 05:22:24 PDT 2023,,,56,100% (6/6),100% (6/6),100% (6/6),"""The US government is spending a huge amount of taxpayers' money and doing almost the worst immunization in the world!#Covid19
https://t.co/PFAYtn5UrW",Neutral,,
3MNJFORX8BXIC06B565EYMTBXAEF5X,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3R3YRB5GRGW7O8DCLTWWGH6QZZKAUN,A3SAT3XIGG47M6,Approved,Mon Apr 10 05:19:11 PDT 2023,Mon Apr 10 05:19:39 PDT 2023,Thu Apr 13 05:19:39 PDT 2023,Thu Apr 13 05:19:42 PDT 2023,,,28,100% (11/11),100% (11/11),100% (11/11),"""The US government is spending a huge amount of taxpayers' money and doing almost the worst immunization in the world!#Covid19
https://t.co/PFAYtn5UrW",Near-right,,
3MNJFORX8BXIC06B565EYMTBXAEF5X,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3QIYRE09Y4AYZUG3S9RHRLLTN9L1NY,AD1ILDUXZHASF,Approved,Mon Apr 10 05:18:33 PDT 2023,Mon Apr 10 05:19:29 PDT 2023,Thu Apr 13 05:19:29 PDT 2023,Thu Apr 13 05:19:38 PDT 2023,,,56,100% (16/16),100% (16/16),100% (16/16),"""The US government is spending a huge amount of taxpayers' money and doing almost the worst immunization in the world!#Covid19
https://t.co/PFAYtn5UrW",Neutral,,
3MNJFORX8BXIC06B565EYMTBXAEF5X,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3H0W84IWBLVIYT27X43D7P9XDFFERJ,AYEMIOSIJ7X7G,Approved,Mon Apr 10 05:21:36 PDT 2023,Mon Apr 10 05:22:26 PDT 2023,Thu Apr 13 05:22:26 PDT 2023,Thu Apr 13 05:22:28 PDT 2023,,,50,100% (9/9),100% (9/9),100% (9/9),"""The US government is spending a huge amount of taxpayers' money and doing almost the worst immunization in the world!#Covid19
https://t.co/PFAYtn5UrW",Neutral,,
3JUDR1D0D6KN4SDX13EACEUDK2WQ21,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3PEIJLRY6UMWCPAAR33BID2LL04XWD,A17S6D2Z3VO1M5,Approved,Mon Apr 10 05:18:57 PDT 2023,Mon Apr 10 05:19:12 PDT 2023,Thu Apr 13 05:19:12 PDT 2023,Thu Apr 13 05:19:32 PDT 2023,,,15,100% (12/12),100% (12/12),100% (12/12),"#Covid19 is still a reality in China. But today, China opens up to international passengers. 5 days at the quarantine hotel and 3 days at home, no more limited flights, no more medium risks areas.",Far-right,,
3JUDR1D0D6KN4SDX13EACEUDK2WQ21,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3PW9OPU9PRD2A8RA6QTXZXIVCEV128,A1XEGS2WUD3KBI,Approved,Mon Apr 10 05:19:15 PDT 2023,Mon Apr 10 05:21:05 PDT 2023,Thu Apr 13 05:21:05 PDT 2023,Thu Apr 13 05:21:27 PDT 2023,,,110,100% (9/9),100% (9/9),100% (9/9),"#Covid19 is still a reality in China. But today, China opens up to international passengers. 5 days at the quarantine hotel and 3 days at home, no more limited flights, no more medium risks areas.",Far-right,,
3JUDR1D0D6KN4SDX13EACEUDK2WQ21,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,39PAAFCODNTCGJ1LWJXI78Y11VETVG,A2U9A5ENR77DPK,Approved,Mon Apr 10 05:21:37 PDT 2023,Mon Apr 10 05:21:57 PDT 2023,Thu Apr 13 05:21:57 PDT 2023,Thu Apr 13 05:22:26 PDT 2023,,,20,100% (3/3),100% (3/3),100% (3/3),"#Covid19 is still a reality in China. But today, China opens up to international passengers. 5 days at the quarantine hotel and 3 days at home, no more limited flights, no more medium risks areas.",Far-right,,
3JUDR1D0D6KN4SDX13EACEUDK2WQ21,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,37ZHEEHM6XF56C2VZ6OBJHE0LEV73M,AA8HNROTBAZ2U,Approved,Mon Apr 10 05:21:37 PDT 2023,Mon Apr 10 05:22:36 PDT 2023,Thu Apr 13 05:22:36 PDT 2023,Thu Apr 13 05:23:23 PDT 2023,,,59,100% (2/2),100% (2/2),100% (2/2),"#Covid19 is still a reality in China. But today, China opens up to international passengers. 5 days at the quarantine hotel and 3 days at home, no more limited flights, no more medium risks areas.",Near-left,,
3JUDR1D0D6KN4SDX13EACEUDK2WQ21,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3II4UPYCOK0DUM97OU3TWHH7HHBQD0,AGZXQK81Y9BEI,Approved,Mon Apr 10 05:18:41 PDT 2023,Mon Apr 10 05:20:11 PDT 2023,Thu Apr 13 05:20:11 PDT 2023,Thu Apr 13 05:20:30 PDT 2023,,,90,100% (14/14),100% (14/14),100% (14/14),"#Covid19 is still a reality in China. But today, China opens up to international passengers. 5 days at the quarantine hotel and 3 days at home, no more limited flights, no more medium risks areas.",Far-left,,
33J5JKFMK6RCPA9G53SFVOZ5QGWQ3C,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3A7Y0R2P2PHA65ABK4KWTN8DJ4UXJH,A2G6O3F81FL149,Approved,Mon Apr 10 05:18:16 PDT 2023,Mon Apr 10 05:20:10 PDT 2023,Thu Apr 13 05:20:10 PDT 2023,Thu Apr 13 05:20:30 PDT 2023,,,114,100% (1/1),100% (1/1),100% (1/1),"Fight Corona VR https://t.co/nph73vjjIM Available 1. 
#ue4 #UnrealEngine #indiedev #gamer #IndieGameDev #indiegames #CHVR #COVID19 #coronavirus 
#VirtualReality #gamedev #gamers #HTCVive #Oculus #Steam #Sales #PCGaming #PC
#pcgamer #follow... https://t.co/IAFp1lQaiN",N/A,,
33J5JKFMK6RCPA9G53SFVOZ5QGWQ3C,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3X4MXAO0BHHCFTOYI4XJTVGXKJIRWA,A2NZ45R5TUU99H,Approved,Mon Apr 10 05:19:46 PDT 2023,Mon Apr 10 05:20:03 PDT 2023,Thu Apr 13 05:20:03 PDT 2023,Thu Apr 13 05:20:28 PDT 2023,,,17,100% (2/2),100% (2/2),100% (2/2),"Fight Corona VR https://t.co/nph73vjjIM Available 1. 
#ue4 #UnrealEngine #indiedev #gamer #IndieGameDev #indiegames #CHVR #COVID19 #coronavirus 
#VirtualReality #gamedev #gamers #HTCVive #Oculus #Steam #Sales #PCGaming #PC
#pcgamer #follow... https://t.co/IAFp1lQaiN",Neutral,,
33J5JKFMK6RCPA9G53SFVOZ5QGWQ3C,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3JBT3HLQF9VVXBDOGZD1N4A003ZPZ7,A2P08N2M57XEOE,Approved,Mon Apr 10 05:18:38 PDT 2023,Mon Apr 10 05:20:03 PDT 2023,Thu Apr 13 05:20:03 PDT 2023,Thu Apr 13 05:20:28 PDT 2023,,,85,100% (7/7),100% (7/7),100% (7/7),"Fight Corona VR https://t.co/nph73vjjIM Available 1. 
#ue4 #UnrealEngine #indiedev #gamer #IndieGameDev #indiegames #CHVR #COVID19 #coronavirus 
#VirtualReality #gamedev #gamers #HTCVive #Oculus #Steam #Sales #PCGaming #PC
#pcgamer #follow... https://t.co/IAFp1lQaiN",Neutral,,
33J5JKFMK6RCPA9G53SFVOZ5QGWQ3C,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3B4YI393VAPV9R72DONNMGI8086SSL,A2Q8W9EV4RRC0O,Approved,Mon Apr 10 05:21:26 PDT 2023,Mon Apr 10 05:21:43 PDT 2023,Thu Apr 13 05:21:43 PDT 2023,Thu Apr 13 05:22:24 PDT 2023,,,17,100% (17/17),100% (17/17),100% (17/17),"Fight Corona VR https://t.co/nph73vjjIM Available 1. 
#ue4 #UnrealEngine #indiedev #gamer #IndieGameDev #indiegames #CHVR #COVID19 #coronavirus 
#VirtualReality #gamedev #gamers #HTCVive #Oculus #Steam #Sales #PCGaming #PC
#pcgamer #follow... https://t.co/IAFp1lQaiN",Far-right,,
